Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
0.1967,Wed Jul 11 20:39:03 +0000 2018,0.905,0.0,BBC,0.095,1
0.0,Wed Jul 11 20:23:23 +0000 2018,1.0,0.0,BBC,0.0,2
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.935,0.065,BBC,0.0,3
0.3612,Wed Jul 11 19:52:13 +0000 2018,0.878,0.0,BBC,0.122,4
-0.296,Wed Jul 11 19:49:56 +0000 2018,0.694,0.306,BBC,0.0,5
0.0,Wed Jul 11 19:27:11 +0000 2018,1.0,0.0,BBC,0.0,6
-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.944,0.056,BBC,0.0,7
0.0,Wed Jul 11 19:16:46 +0000 2018,1.0,0.0,BBC,0.0,8
0.6705,Wed Jul 11 19:02:33 +0000 2018,0.776,0.0,BBC,0.224,9
0.3182,Wed Jul 11 19:02:02 +0000 2018,0.874,0.0,BBC,0.126,10
0.0,Wed Jul 11 18:50:03 +0000 2018,1.0,0.0,BBC,0.0,11
0.0,Wed Jul 11 18:06:07 +0000 2018,1.0,0.0,BBC,0.0,12
0.0,Wed Jul 11 18:00:11 +0000 2018,1.0,0.0,BBC,0.0,13
0.0,Wed Jul 11 17:57:05 +0000 2018,1.0,0.0,BBC,0.0,14
0.0,Wed Jul 11 17:01:04 +0000 2018,1.0,0.0,BBC,0.0,15
0.0,Wed Jul 11 16:01:05 +0000 2018,1.0,0.0,BBC,0.0,16
0.0,Wed Jul 11 13:03:06 +0000 2018,1.0,0.0,BBC,0.0,17
0.5994,Wed Jul 11 11:32:03 +0000 2018,0.692,0.0,BBC,0.308,18
0.3612,Wed Jul 11 11:02:02 +0000 2018,0.894,0.0,BBC,0.106,19
0.0,Wed Jul 11 09:53:20 +0000 2018,1.0,0.0,BBC,0.0,20
0.1967,Wed Jul 11 20:39:03 +0000 2018,0.905,0.0,BBC,0.095,21
0.0,Wed Jul 11 20:23:23 +0000 2018,1.0,0.0,BBC,0.0,22
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.935,0.065,BBC,0.0,23
0.3612,Wed Jul 11 19:52:13 +0000 2018,0.878,0.0,BBC,0.122,24
-0.296,Wed Jul 11 19:49:56 +0000 2018,0.694,0.306,BBC,0.0,25
0.0,Wed Jul 11 19:27:11 +0000 2018,1.0,0.0,BBC,0.0,26
-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.944,0.056,BBC,0.0,27
0.0,Wed Jul 11 19:16:46 +0000 2018,1.0,0.0,BBC,0.0,28
0.6705,Wed Jul 11 19:02:33 +0000 2018,0.776,0.0,BBC,0.224,29
0.3182,Wed Jul 11 19:02:02 +0000 2018,0.874,0.0,BBC,0.126,30
0.0,Wed Jul 11 18:50:03 +0000 2018,1.0,0.0,BBC,0.0,31
0.0,Wed Jul 11 18:06:07 +0000 2018,1.0,0.0,BBC,0.0,32
0.0,Wed Jul 11 18:00:11 +0000 2018,1.0,0.0,BBC,0.0,33
0.0,Wed Jul 11 17:57:05 +0000 2018,1.0,0.0,BBC,0.0,34
0.0,Wed Jul 11 17:01:04 +0000 2018,1.0,0.0,BBC,0.0,35
0.0,Wed Jul 11 16:01:05 +0000 2018,1.0,0.0,BBC,0.0,36
0.0,Wed Jul 11 13:03:06 +0000 2018,1.0,0.0,BBC,0.0,37
0.5994,Wed Jul 11 11:32:03 +0000 2018,0.692,0.0,BBC,0.308,38
0.3612,Wed Jul 11 11:02:02 +0000 2018,0.894,0.0,BBC,0.106,39
0.0,Wed Jul 11 09:53:20 +0000 2018,1.0,0.0,BBC,0.0,40
0.1967,Wed Jul 11 20:39:03 +0000 2018,0.905,0.0,BBC,0.095,41
0.0,Wed Jul 11 20:23:23 +0000 2018,1.0,0.0,BBC,0.0,42
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.935,0.065,BBC,0.0,43
0.3612,Wed Jul 11 19:52:13 +0000 2018,0.878,0.0,BBC,0.122,44
-0.296,Wed Jul 11 19:49:56 +0000 2018,0.694,0.306,BBC,0.0,45
0.0,Wed Jul 11 19:27:11 +0000 2018,1.0,0.0,BBC,0.0,46
-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.944,0.056,BBC,0.0,47
0.0,Wed Jul 11 19:16:46 +0000 2018,1.0,0.0,BBC,0.0,48
0.6705,Wed Jul 11 19:02:33 +0000 2018,0.776,0.0,BBC,0.224,49
0.3182,Wed Jul 11 19:02:02 +0000 2018,0.874,0.0,BBC,0.126,50
0.0,Wed Jul 11 18:50:03 +0000 2018,1.0,0.0,BBC,0.0,51
0.0,Wed Jul 11 18:06:07 +0000 2018,1.0,0.0,BBC,0.0,52
0.0,Wed Jul 11 18:00:11 +0000 2018,1.0,0.0,BBC,0.0,53
0.0,Wed Jul 11 17:57:05 +0000 2018,1.0,0.0,BBC,0.0,54
0.0,Wed Jul 11 17:01:04 +0000 2018,1.0,0.0,BBC,0.0,55
0.0,Wed Jul 11 16:01:05 +0000 2018,1.0,0.0,BBC,0.0,56
0.0,Wed Jul 11 13:03:06 +0000 2018,1.0,0.0,BBC,0.0,57
0.5994,Wed Jul 11 11:32:03 +0000 2018,0.692,0.0,BBC,0.308,58
0.3612,Wed Jul 11 11:02:02 +0000 2018,0.894,0.0,BBC,0.106,59
0.0,Wed Jul 11 09:53:20 +0000 2018,1.0,0.0,BBC,0.0,60
0.1967,Wed Jul 11 20:39:03 +0000 2018,0.905,0.0,BBC,0.095,61
0.0,Wed Jul 11 20:23:23 +0000 2018,1.0,0.0,BBC,0.0,62
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.935,0.065,BBC,0.0,63
